Title,Fuel,Price,Engine,Location,Transmission,Range,Description
toyota rush (2022),Bensin,Rp 219.000.000,>1.000 - 1.500 cc,"Cilandak, Jakarta Selatan",Automatic,40.000-45.000 Km,"Deskripsi ""Toyota Rush 1.5 S GR Sport Bensin-AT 2021 OTOMATIS Silver . Khusus Harga Kredit : Rp 219,000,000 Khusus Harga Cash : Rp 231,000,000 TDP : Rp 26,000,000 Angsuran 4 tahun : Rp 6,770,000 Angsuran 5 tahun : Rp 6,070,000 . Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah Tenor panjang cicilan pasti ringan dan dapatkan saldo digital hingga 1.750.000! Dapatkan juga TDP terendah Dan Promo Trade In Suka- Suka (Terima Mobil merek dan Tahun Apapun Tanpa Syarat) *S&K berlaku . Keunggulan Unit : - Astra Certified - Bebas Tabrak - Bebas Banjir - Kilometer Tidak Putaran . Berikut Spesiffikasi - Dokumen Lengkap a/n : Perorangan - Odometer : 43,116 km - Transmisi : OTOMATIS - Pajak : October 2025 - Plat : Genap - Warna : Silver - KN : TRR . Mohon lakukan pembayaran melalui no rekening berikut untuk booking fee / pelunasan: 120/00/0757779/9 An. SERASI MITRA MOBIL TDP promo hanya berlaku jika: - BI checking Bersih (tidak pernah ada keterlambatan pembayaran) - Rumah Milik Pribadi - Pemasukan/Gaji = 3x Angsuran * Bisa dibantu Rumah Kontrak dan BI checking bermasalah dengan TDP 30%* (S&K Berlaku) . Mengapa Anda harus membeli mobil di OLXmobbi? - Garansi Mesin hingga 1 tahun - Gratis Biaya Jasa Perawatan - Jaminan 7 hari jaminan uang kembali - Test Drive dari Rumah, - Ada 2.000+ pilihan mobil bekas Mobil Bekas Berkualitas, Mobil lulus inspeksi dan tersertifikasi . Kunjungi Kami Di : Olx Mobbi Arteri Cilandak . Utami Widiyastuti - Sales Executive Ahlinya Mobil Bekas Berkualitas Mobil Lulus Inspeksi dan Bergaransi"""
daihatsu xenia (2021),Bensin,Rp 168.000.000,>1.000 - 1.500 cc,"Cilandak, Jakarta Selatan",Automatic,85.000-90.000 Km,"Deskripsi ""Daihatsu Xenia 1.3 . Khusus Harga Kredit : Rp 168,000,000 Khusus Harga Cash : Rp 178,000,000 TDP : Rp Call Me for Info Angsuran 4 tahun : Rp Call Me for Info Angsuran 5 tahun : Rp Call Me for Info . Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah Tenor panjang cicilan pasti ringan dan dapatkan saldo digital hingga 1.500.000! Dapatkan juga TDP terendah dan Promo Trade In Suka-Suka (Terima Mobil merek dan Tahun Apapun Tanpa Syarat) *S&K berlaku . Keunggulan Unit : - Astra Certified - Bebas Tabrak - Bebas Banjir - Kilometer Tidak Putaran . Berikut Spesifikasi : - Dokumen Lengkap a/n : Perorangan - Odometer : 102,171 km - Transmisi : AT - Pajak : 01-Mar-2026 - Plat : Ganjil/Genap - KN : CUOQB . Mohon lakukan pembayaran melalui no rekening berikut untuk booking fee / pelunasan: 120/00/0757779/9 An. SERASI MITRA MOBIL TDP promo hanya berlaku jika: - BI checking Bersih (tidak pernah ada keterlambatan pembayaran) - Rumah Milik Pribadi - Pemasukan/Gaji = 3x Angsuran * Bisa dibantu Rumah Kontrak dan BI checking bermasalah dengan TDP 30%* (S&K Berlaku) . Mengapa Anda harus membeli mobil di OLXmobbi? - Garansi Mesin hingga 1 tahun - Gratis Biaya Jasa Perawatan - 7 Hari Jaminan Uang Kembali - Test Drive dari Rumah - Ada 2.000+ pilihan mobil bekas berkualitas, lulus inspeksi dan tersertifikasi . Rosa Sandra - Sales Executive Ahlinya Mobil Bekas Berkualitas Mobil Lulus Inspeksi dan Bergaransi"""
toyota raize (2023),Bensin,Rp 212.000.000,<1.000 cc,"Cilandak, Jakarta Selatan",Automatic,35.000-40.000 Km,"Deskripsi ""Toyota Raize 1.0 . Khusus Harga Kredit : Rp 212,000,000 Khusus Harga Cash : Rp 222,000,000 TDP : Rp Call Me for Info Angsuran 4 tahun : Rp Call Me for Info Angsuran 5 tahun : Rp Call Me for Info . Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah Tenor panjang cicilan pasti ringan dan dapatkan saldo digital hingga 1.500.000! Dapatkan juga TDP terendah dan Promo Trade In Suka-Suka (Terima Mobil merek dan Tahun Apapun Tanpa Syarat) *S&K berlaku . Keunggulan Unit : - Astra Certified - Bebas Tabrak - Bebas Banjir - Kilometer Tidak Putaran . Berikut Spesifikasi : - Dokumen Lengkap a/n : Perorangan - Odometer : 50,722 km - Transmisi : AT - Pajak : 01-Mar-2026 - Plat : Ganjil/Genap - KN : C1AWB . Mohon lakukan pembayaran melalui no rekening berikut untuk booking fee / pelunasan: 120/00/0757779/9 An. SERASI MITRA MOBIL TDP promo hanya berlaku jika: - BI checking Bersih (tidak pernah ada keterlambatan pembayaran) - Rumah Milik Pribadi - Pemasukan/Gaji = 3x Angsuran * Bisa dibantu Rumah Kontrak dan BI checking bermasalah dengan TDP 30%* (S&K Berlaku) . Mengapa Anda harus membeli mobil di OLXmobbi? - Garansi Mesin hingga 1 tahun - Gratis Biaya Jasa Perawatan - 7 Hari Jaminan Uang Kembali - Test Drive dari Rumah - Ada 2.000+ pilihan mobil bekas berkualitas, lulus inspeksi dan tersertifikasi . Afifah Arthadianti - Sales Executive Ahlinya Mobil Bekas Berkualitas Mobil Lulus Inspeksi dan Bergaransi"""
honda brio satya (2019),Bensin,Rp 149.000.000,>1.000 - 1.500 cc,"Cilandak, Jakarta Selatan",Automatic,65.000-70.000 Km,"Deskripsi ""Honda Brio Satya 1.2 E Bensin-AT 2019 . Khusus Harga Kredit : Rp 149,000,000 Khusus Harga Cash : Rp 159,000,000 TDP : Rp Call Me for Info Angsuran 4 tahun : Rp Call Me for Info Angsuran 5 tahun : Rp Call Me for Info . Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah Tenor panjang cicilan pasti ringan dan dapatkan saldo digital hingga 1.500.000! Dapatkan juga TDP terendah dan Promo Trade In Suka-Suka (Terima Mobil merek dan Tahun Apapun Tanpa Syarat) *S&K berlaku . Keunggulan Unit : - Astra Certified - Bebas Tabrak - Bebas Banjir - Kilometer Tidak Putaran . Berikut Spesifikasi : - Dokumen Lengkap a/n : Perorangan - Odometer : 81,414 km - Transmisi : AT - Pajak : 31-Oct-2025 - Plat : Ganjil/Genap - KN : CJYEB . Mohon lakukan pembayaran melalui no rekening berikut untuk booking fee / pelunasan: 120/00/0757779/9 An. SERASI MITRA MOBIL TDP promo hanya berlaku jika: - BI checking Bersih (tidak pernah ada keterlambatan pembayaran) - Rumah Milik Pribadi - Pemasukan/Gaji = 3x Angsuran * Bisa dibantu Rumah Kontrak dan BI checking bermasalah dengan TDP 30%* (S&K Berlaku) . Mengapa Anda harus membeli mobil di OLXmobbi? - Garansi Mesin hingga 1 tahun - Gratis Biaya Jasa Perawatan - 7 Hari Jaminan Uang Kembali - Test Drive dari Rumah - Ada 2.000+ pilihan mobil bekas berkualitas, lulus inspeksi dan tersertifikasi . Aprilia Diah Permatasari - Sales Executive Ahlinya Mobil Bekas Berkualitas Mobil Lulus Inspeksi dan Bergaransi"""
hyundai stargazer (2024),Bensin,Rp 239.000.000,>1.000 - 1.500 cc,"Mampang Prapatan, Jakarta Selatan",Automatic,0-5.000 Km,"Deskripsi [ B GENAP DZL ] Hyundai Stargazer Prime Merah Captainseat AT NIK 2024 KM154 Perak Record AUTHORIZED Ex Pemain Timnas! Masih Plastikan !! OTR KREDIT 239JT OTR CASH 265JT Spesifikasi : #Engine 1.5 CVT Auto ECO Mode #Pajak Bulan 11-2025 #Tangan1daribaruPT - Keyless Start Engine - AC Digital Climate Control Double - Electric Retract Mirror + Audiosteer + Cruisecontrol - Drive Mode : ECO, Smart, Normal, Sport - Hyundai Bluelink Connectivity Technology , Hyundai Smart Sense, Forward Collision Avoidance Assist, High Beam Assist, Lane Keeping Assist, Safe Exit Warning, Ambience Lighting - Leather Captainseat - Headunit 8inch Infotainment System Apple Carplay Android Auto Camera - Headlamp LED DRL, Sensorparking, Velg OEM - Buku Servis Kunciserep - KF Smith Menerima Jual, Beli dan Tukar Tambah Proses Kredit Bisa Dibantu ( Rumah Sewa dll S&K ) KTP Daerah Bisa Proses Dijamin Tidak Bekas Banjir dan Tabrakan (General Check-Up Bengkel Resmi) Minat Hubungi Dede Focus Motor ( Call / WA )"
honda hr-v (2024),Bensin,Rp 294.999.000,>1.000 - 1.500 cc,"Cilandak, Jakarta Selatan",Automatic,25.000-30.000 Km,"Deskripsi Harga Untuk Kredit Harga Tunai Beda Lagi ( Tdp lebih dari 30% otr kredit beda lagi ) HONDA HR-V 1.5 SE NIK 2024 Low KM 26 RIBU PLAT B DEPOK Interior dan Eksterior Istimewa dan terawat Tangan pertama dari baru Nama PERORANGAN Pajak bulan 09 2026 Plat GENAP Record Resmi Kunci serep lengkap Surat surat lengkap Mesin kering Kaki kaki tidak ada bunyi Kondisi siap pakai Garansi uang kembali full apabila unit permah terjadi accident Garansi mobil bukan bekas tabrak dan banjir Boleh chek unit ke bengkel resmi - GARANSI MESIN DAN TRANSMISI 1 BULAN s/d 2 TAHUN s&k BERLAKU! - CUSTOMER SERVICE 24 JAM - TOWING FREE SAAT MOBIL BERMASALAH DI SELURUH INDONESIA - MEKANIK SIAP DATANG SAAT KUNCI MOBIL TERTINGGAL DI DALAM - FREE JUMPER AKI, JIKA AKI MOBIL LEMAH - FREE PEMERIKSAAN DI JALAN SAAT MOBIL ADA PERMASALAHAN - FREE LAYANAN BENSIN 5 LITER JIKA MOBIL HABIS BENSIN DI PERJALANAN -  FREE LAYANAN PENGGANTIAN BAN SEREP LOKASI WTC MANGGA DUA LANTAI 3A NO 80 KETEMU DENGAN ABDUL GCR AUTO"
toyota kijang innova (2024),Hybrid,Rp 499.000.000,>1.500 - 2.000 cc,"Cilandak, Jakarta Selatan",Automatic,20.000-25.000 Km,"Deskripsi FOR SALE Toyota Innova Zenix Q Hybrid 2.0 Modelista Panoramic AT Putih Metalik NIK 2024, PAJAK BULAN 6 (2025), ODOMETER 21RB KM RECORD AUTHORIZED GARANSI TOYOTA 3 TAHUN ATAU 100.000 KM - BELI MOBIL BEKAS TANPA KHAWATIR CUMA DI BELANJAMOBIL! Kami Berikan Garansi Langsung 1 Tahun GRATIS! Jaminan Garansi Meliputi : 1. Mesin 2. Transmisi 3. AC 4. Kaki-kaki 5. Sistem Pengereman 6. Layanan ERA (Emergency Road Asistance) Bonus! Free Detailing (pembersihan) 2x (1 tahun) -UNIT 100% BEBAS TABRAK DAN BEBAS BANJIR (garansi uang kembali) -Dokumen ABSAH Focus Motor / Belanja Mobil sudah hadir di Indonesia sejak 25 tahun. Prioritas kami adalah menjaga kepuasan customer dan berkomitmen untuk menghadirkan mobil bekas terbaik untuk konsumen. - OTR KREDIT 499JT OTR CASH BY CALL Bunga Premium TDP 126,227,823 Angsuran 12,540,000 x47 TDP 100,712,372 Angsuran 11,731,000 x59 DP Minim Tdp 88jt Angs 13,663,500 x47 tlo Tdp 80jt Angs 12,001,500 x59 tlo UNTUK REQUEST DP / HITUNGAN LAIN, SILAKAN HUBUNGI KAMI Harga kredit tertera adalah harga minimal kredit dengan tenor 4 & 5 tahun, diluar itu mengikuti harga Cash (karena kami mensubsidi refund bunga kepada anda) - Spesifikasi : * Tangan Pertama Dari Baru, Pribadi * Engine 2.0 cc 152 Hp (187 Nm) Dual VVT-i Hybrid * Electric Motor 113 Hp (206 Nm) * Toyota Safety Sense (TSS) * ECO Mode, POWER Mode, EV Mode * Panoramic Roof * 6 Speed Transmission * Keyless Start & Stop Engine * Electric Miror And Retract * Dash Cam * T intouch Live Connected, Wireless Charging * Audio Steering Switch, Cruise Control * Toyota Headunit LCD Touchscreen Apple Carplay & Android Auto * 2 TV Rear Entertainment System, Captain Seat * Adjustable Original Fabric seat * LED Multireflector Headlamp With DRL, Foglamp * Rear LED Stop Lamp * SRS Airbags, ABS, EBD, BA, VSC, COMPLETE SAFETY CAR * 360 View Parking Camera, Parking Sensor * Electric Parking Handbrake, Traction Control System, Electric Hold Brake * Power Back Door With Voice * Kaca Film Llumar * Buku Manual + Srvice, Kunci Cadangan Tersedia LOKASI : Bursa Otomotif Mangga Dua Square, Focus Motor, Jakarta Utara. (UYO) (C)"
mercedes-benz c300 (2020),Bensin,Rp 620.000.000,>2.000 - 3.000 cc,"Kebayoran Lama, Jakarta Selatan",Automatic,5.000-10.000 Km,"Deskripsi MERCEDES BENZ C300 AMG 2020/2021 NEW PROFILE BLACK ON BLACK Km.14.000 Antik!! , Stnk Bulan 02 Register 2021 ( NIK.2020 ) - Monitor + Rear Camera - GPS Indonesia - Headlamp Facelift New Profile - Full Electric Seat + Memory Seat - Electric Tilt Steering - Audio Burnsmester - Engine Start Button - Panoramic + Sunroof - Mouse Control Pad - Speedometer Digital - HUD ( Head Unit Display ) - Bagasi PBD ( Power Back Doors ) - Full AMG Package ( Velg + Body Kit ) - Service Record ATPM Mercedes Benz OTR KREDIT : 620JT OTR CASH : 695JT Harga Negosiasi Setelah Datang Lihat Unit di Showroom Kami Pembelian via cash / kredit.. Data luar kota bisa bantu proses, Tersedia jg Paket Total DP Ringan, Tenor hingga 6 tahun ( Proses 1 hari kerja saja ) Kelengkapan Data yang diperlukan : -Copy KTP Suami + Istri ( Jika Sudah Menikah ) -Copy Kartu Keluarga -Copy PBB -Copy Cover Rekening Buku Tabungan Segera Rekomendasikan Keluarga / Teman / Kerabat Bapak & Ibu semua untuk membeli Mobil di AUTOHIGH dan dapatkan harga & kualitas terbaik dengan cara Share Link Iklan ini, Terima Kasih !!! ///AUTO HIGH BINTARO ** Bursa Mobil Bintaro A1 - A3 Bintaro Sektor 7, Jakarta Selatan ( Exit Tol Pondok Aren, samping Bank Permata Tower dan Dealer BMW Bestindo ) [[ GUNAKAN SELALU FITUR TELEPON & WHATS APP UNTUK KEAMANAN BERKOMUNIKASI, TERIMA KASIH ]] Buka Setiap Hari : Pukul 9 Pagi s/d 6 Sore ( Sabtu / Minggu / Hari Libur Tetap Buka ) More Info, Please Call / SMS / Whats App : Pukul 8 Pagi s/d 11 Malam ( Setiap Hari )"
mitsubishi delica (2014),Bensin,Rp 155.000.000,>1.500 - 2.000 cc,"Cilandak, Jakarta Selatan",Automatic,75.000-80.000 Km,Deskripsi Mitsubishi Delica D5 Automatic Tahun 2014 Pajak On 1 2026 Tangan ke2 Hitam Metalik Bebas Nabrak dan Bebas Banjir Full Original Mesin Sehat AC dingin Matik Responsif Kaki2 Senyap Empuk Istimewa Terawat Baik Cash 165juta Kredit 155juta Harga Nego ditempat Lokasi Perumahan Vila Dago Pamulang Tangerang Selatan
suzuki swift (2014),Bensin,Rp 128.000.000,>1.000 - 1.500 cc,"Cilandak, Jakarta Selatan",Automatic,130.000-135.000 Km,Deskripsi Jual Mobil Pribadi Suzuki Swift GX 2014 AT Km 130.xxx - on going Atas nama pribadi. Pajak panjang 08 - 30 Info detail bisa chat. Rp 128.000.000 (cash only)
